payment_id,loan_id,due_date,paid_date,amount_due,amount_paid
P0000065,L000003,2027-03-05,,622,0
P0000066,L000004,2025-05-15,,1128,0
P0000067,L000004,2025-06-15,,1128,0
P0000068,L000004,2025-07-15,,1128,0
P0000069,L000004,2025-08-15,,1128,0
P0000070,L000004,2025-09-15,,1128,0
P0000071,L000004,2025-10-15,,1128,0
P0000072,L000004,2025-11-15,,1128,0
P0000073,L000004,2025-12-15,,1128,0
P0000074,L000004,2026-01-15,,1128,0
P0000075,L000004,2026-02-15,,1128,0
P0000076,L000004,2026-03-15,,1128,0
P0000077,L000004,2026-04-15,,1128,0
P0000078,L000004,2026-05-15,,1128,0
P0000079,L000004,2026-06-15,,1128,0
P0000080,L000004,2026-07-15,,1128,0
P0000081,L000004,2026-08-15,,1128,0
P0000082,L000004,2026-09-15,,1128,0
P0000083,L000004,2026-10-15,,1128,0
P0000084,L000005,2023-06-17,2023-06-26,2151,2151
P0000085,L000005,2023-07-17,2023-07-20,2151,2151
P0000086,L000005,2023-08-17,2023-08-20,2151,2151
P0000087,L000005,2023-09-17,2023-09-26,2151,2151
P0000088,L000005,2023-10-17,2023-10-18,2151,2151
P0000089,L000005,2023-11-17,2023-11-20,2151,2151
P0000090,L000006,2023-02-05,2023-02-11,1355,1355
P0000091,L000006,2023-03-05,2023-03-14,1355,1355
P0000092,L000006,2023-04-05,2023-04-09,1355,1355
P0000093,L000006,2023-05-05,2023-05-06,1355,1355
P0000094,L000006,2023-06-05,2023-06-07,1355,1355
P0000095,L000006,2023-07-05,2023-07-15,1355,1355
P0000096,L000006,2023-08-05,2023-08-11,1355,1355
P0000097,L000006,2023-09-05,2023-09-09,1355,1355
P0000098,L000006,2023-10-05,2023-10-06,1355,1355
P0000099,L000006,2023-11-05,2023-11-05,1355,1355
P0000100,L000006,2023-12-05,2023-12-11,1355,1355
P0000101,L000006,2024-01-05,2024-01-05,1355,1355
P0000102,L000007,2025-03-19,2025-03-22,1594,1594
P0000103,L000007,2025-04-19,,1594,0
P0000104,L000007,2025-05-19,,1594,0
P0000105,L000007,2025-06-19,,1594,0
P0000106,L000007,2025-07-19,,1594,0
P0000107,L000007,2025-08-19,,1594,0
P0000108,L000008,2025-05-05,,1357,0
P0000109,L000008,2025-06-05,,1357,0
P0000110,L000008,2025-07-05,,1357,0
P0000111,L000008,2025-08-05,,1357,0
P0000112,L000008,2025-09-05,,1357,0
P0000113,L000008,2025-10-05,,1357,0
P0000114,L000009,2025-04-02,2025-04-04,567,567
P0000115,L000009,2025-05-02,,567,0
P0000116,L000009,2025-06-02,,567,0
P0000117,L000009,2025-07-02,,567,0
P0000118,L000009,2025-08-02,,567,0
P0000119,L000009,2025-09-02,,567,0
P0000120,L000009,2025-10-02,,567,0
P0000121,L000009,2025-11-02,,567,0
P0000122,L000009,2025-12-02,,567,0
P0000123,L000009,2026-01-02,,567,0
P0000124,L000009,2026-02-02,,567,0
P0000125,L000009,2026-03-02,,567,0
P0000126,L000009,2026-04-02,,567,0
P0000127,L000009,2026-05-02,,567,0
P0000128,L000009,2026-06-02,,567,0
P0000129,L000009,2026-07-02,,567,0
P0000130,L000009,2026-08-02,,567,0
P0000131,L000009,2026-09-02,,567,0
P0000132,L000009,2026-10-02,,567,0
P0000133,L000009,2026-11-02,,567,0
P0000134,L000009,2026-12-02,,567,0
P0000135,L000009,2027-01-02,,567,0
P0000136,L000009,2027-02-02,,567,0
P0000137,L000009,2027-03-02,,567,0
P0000138,L000010,2025-04-17,,2378,0
P0000139,L000010,2025-05-17,,2378,0
P0000140,L000010,2025-06-17,,2378,0
P0000141,L000010,2025-07-17,,2378,0
P0000142,L000010,2025-08-17,,2378,0
P0000143,L000010,2025-09-17,,2378,0
P0000144,L000011,2025-03-18,2025-03-24,1704,1704
P0000145,L000011,2025-04-18,,1704,0
P0000146,L000011,2025-05-18,,1704,0
P0000147,L000011,2025-06-18,,1704,0
P0000148,L000011,2025-07-18,,1704,0
P0000149,L000011,2025-08-18,,1704,0
P0000150,L000011,2025-09-18,,1704,0
P0000151,L000011,2025-10-18,,1704,0
P0000152,L000011,2025-11-18,,1704,0
P0000153,L000011,2025-12-18,,1704,0
P0000154,L000011,2026-01-18,,1704,0
P0000155,L000011,2026-02-18,,1704,0
P0000156,L000011,2026-03-18,,1704,0
P0000157,L000011,2026-04-18,,1704,0
P0000158,L000011,2026-05-18,,1704,0
P0000159,L000011,2026-06-18,,1704,0
P0000160,L000011,2026-07-18,,1704,0
P0000161,L000011,2026-08-18,,1704,0
P0000162,L000012,2024-02-02,2024-02-09,1220,1220
P0000163,L000012,2024-03-02,2024-03-07,1220,1220
P0000164,L000012,2024-04-02,2024-04-05,1220,1220
P0000165,L000012,2024-05-02,2024-05-03,1220,1220
P0000166,L000012,2024-06-02,2024-06-12,1220,1220
P0000167,L000012,2024-07-02,2024-07-10,1220,1220
P0000168,L000012,2024-08-02,2024-08-02,1220,1220
P0000169,L000012,2024-09-02,2024-09-07,1220,1220
P0000170,L000012,2024-10-02,2024-10-09,1220,1220
P0000171,L000012,2024-11-02,2024-11-08,1220,1220
P0000172,L000012,2024-12-02,2024-12-05,1220,1220
P0000173,L000012,2025-01-02,2025-01-03,1220,1220
P0000174,L000012,2025-02-02,2025-02-12,1220,1220
P0000175,L000012,2025-03-02,2025-03-02,1220,1220
P0000176,L000012,2025-04-02,2025-04-03,1220,1220
P0000177,L000012,2025-05-02,,1220,0
P0000178,L000012,2025-06-02,,1220,0
P0000179,L000012,2025-07-02,,1220,0
P0000180,L000013,2024-02-07,2024-02-07,645,645
P0000181,L000013,2024-03-07,2024-03-15,645,645
P0000182,L000013,2024-04-07,2024-04-16,645,645
P0000183,L000013,2024-05-07,2024-05-13,645,645
P0000184,L000013,2024-06-07,2024-06-17,645,645
P0000185,L000013,2024-07-07,2024-07-12,645,645
P0000186,L000013,2024-08-07,2024-08-11,645,645
P0000187,L000013,2024-09-07,2024-09-13,645,645
P0000188,L000013,2024-10-07,2024-10-08,645,645
P0000189,L000013,2024-11-07,2024-11-09,645,645
P0000190,L000013,2024-12-07,2024-12-12,645,645
P0000191,L000013,2025-01-07,2025-01-10,645,645
P0000192,L000013,2025-02-07,2025-02-13,645,645
P0000193,L000013,2025-03-07,2025-03-07,645,645
P0000194,L000013,2025-04-07,2025-04-13,645,645
P0000195,L000013,2025-05-07,,645,0
P0000196,L000013,2025-06-07,,645,0
P0000197,L000013,2025-07-07,,645,0
P0000198,L000013,2025-08-07,,645,0
P0000199,L000013,2025-09-07,,645,0
P0000200,L000013,2025-10-07,,645,0
P0000201,L000013,2025-11-07,,645,0
P0000202,L000013,2025-12-07,,645,0
P0000203,L000013,2026-01-07,,645,0
P0000204,L000014,2025-01-24,2025-01-28,6550,6550
P0000205,L000014,2025-02-24,2025-02-24,6550,6550
P0000206,L000014,2025-03-24,2025-03-24,6550,6550
P0000207,L000014,2025-04-24,,6550,0
P0000208,L000014,2025-05-24,,6550,0
P0000209,L000014,2025-06-24,,6550,0
P0000210,L000015,2025-04-02,2025-04-06,1763,1763
P0000211,L000015,2025-05-02,,1763,0
P0000212,L000015,2025-06-02,,1763,0
P0000213,L000015,2025-07-02,,1763,0
P0000214,L000015,2025-08-02,,1763,0
P0000215,L000015,2025-09-02,,1763,0
P0000216,L000015,2025-10-02,,1763,0
P0000217,L000015,2025-11-02,,1763,0
P0000218,L000015,2025-12-02,,1763,0
P0000219,L000015,2026-01-02,,1763,0
P0000220,L000015,2026-02-02,,1763,0
P0000221,L000015,2026-03-02,,1763,0
P0000222,L000016,2025-03-28,2025-04-05,2126,2126
P0000223,L000016,2025-04-28,,2126,0
P0000224,L000016,2025-05-28,,2126,0
P0000225,L000016,2025-06-28,,2126,0
P0000226,L000016,2025-07-28,,2126,0
P0000227,L000016,2025-08-28,,2126,0
P0000228,L000016,2025-09-28,,2126,0
P0000229,L000016,2025-10-28,,2126,0
P0000230,L000016,2025-11-28,,2126,0
P0000231,L000016,2025-12-28,,2126,0
P0000232,L000016,2026-01-28,,2126,0
P0000233,L000016,2026-02-28,,2126,0
P0000234,L000017,2024-09-06,2024-09-12,1033,1033
P0000235,L000017,2024-10-06,2024-10-13,1033,1033
P0000236,L000017,2024-11-06,2024-11-15,1033,1033
P0000237,L000017,2024-12-06,2024-12-10,1033,1033
P0000238,L000017,2025-01-06,2025-01-14,1033,1033
P0000239,L000017,2025-02-06,2025-02-12,1033,1033
P0000240,L000017,2025-03-06,2025-03-16,1033,1033
P0000241,L000017,2025-04-06,,1033,0
P0000242,L000017,2025-05-06,,1033,0
P0000243,L000017,2025-06-06,,1033,0
P0000244,L000017,2025-07-06,,1033,0
P0000245,L000017,2025-08-06,,1033,0
P0000246,L000017,2025-09-06,,1033,0
P0000247,L000017,2025-10-06,,1033,0
P0000248,L000017,2025-11-06,,1033,0
P0000249,L000017,2025-12-06,,1033,0
P0000250,L000017,2026-01-06,,1033,0
P0000251,L000017,2026-02-06,,1033,0
P0000252,L000018,2024-12-25,2025-01-02,310,310
P0000253,L000018,2025-01-25,2025-02-03,310,310
P0000254,L000018,2025-02-25,,310,0
P0000255,L000018,2025-03-25,,310,0
P0000256,L000018,2025-04-25,,310,0
P0000257,L000018,2025-05-25,,310,0
P0000258,L000018,2025-06-25,,310,0
P0000259,L000018,2025-07-25,,310,0
P0000260,L000018,2025-08-25,,310,0
P0000261,L000018,2025-09-25,,310,0
P0000262,L000018,2025-10-25,,310,0
P0000263,L000018,2025-11-25,,310,0
P0000264,L000018,2025-12-25,,310,0
P0000265,L000018,2026-01-25,,310,0
P0000266,L000018,2026-02-25,,310,0
P0000267,L000018,2026-03-25,,310,0
P0000268,L000018,2026-04-25,,310,0
P0000269,L000018,2026-05-25,,310,0
P0000270,L000019,2024-12-29,2025-01-02,14107,14107
P0000271,L000019,2025-01-29,2025-02-06,14107,14107
P0000272,L000019,2025-02-28,2025-03-04,14107,14107
P0000273,L000019,2025-03-29,2025-04-06,14107,14107
P0000274,L000019,2025-04-29,,14107,0
P0000275,L000019,2025-05-29,,14107,0
P0000276,L000020,2024-07-19,2024-07-20,2684,2684
P0000277,L000020,2024-08-19,2024-08-26,2684,2684
P0000278,L000020,2024-09-19,2024-09-19,2684,2684
P0000279,L000020,2024-10-19,2024-10-29,2684,2684
P0000280,L000020,2024-11-19,2024-11-22,2684,2684
P0000281,L000020,2024-12-19,2024-12-25,2684,2684
P0000282,L000020,2025-01-19,2025-01-20,2684,2684
P0000283,L000020,2025-02-19,2025-02-19,2684,2684
P0000284,L000020,2025-03-19,2025-03-19,2684,2684
P0000285,L000020,2025-04-19,,2684,0
P0000286,L000020,2025-05-19,,2684,0
P0000287,L000020,2025-06-19,,2684,0
P0000288,L000020,2025-07-19,,2684,0
P0000289,L000020,2025-08-19,,2684,0
P0000290,L000020,2025-09-19,,2684,0
P0000291,L000020,2025-10-19,,2684,0
P0000292,L000020,2025-11-19,,2684,0
P0000293,L000020,2025-12-19,,2684,0
P0000294,L000020,2026-01-19,,2684,0
P0000295,L000020,2026-02-19,,2684,0
P0000296,L000020,2026-03-19,,2684,0
P0000297,L000020,2026-04-19,,2684,0
P0000298,L000020,2026-05-19,,2684,0
P0000299,L000020,2026-06-19,,2684,0
P0000300,L000021,2025-04-10,,1539,0
P0000301,L000021,2025-05-10,,1539,0
P0000302,L000021,2025-06-10,,1539,0
P0000303,L000021,2025-07-10,,1539,0
P0000304,L000021,2025-08-10,,1539,0
P0000305,L000021,2025-09-10,,1539,0
P0000306,L000021,2025-10-10,,1539,0
P0000307,L000021,2025-11-10,,1539,0
P0000308,L000021,2025-12-10,,1539,0
P0000309,L000021,2026-01-10,,1539,0
P0000310,L000021,2026-02-10,,1539,0
P0000311,L000021,2026-03-10,,1539,0
P0000312,L000022,2025-03-25,2025-03-25,813,813
P0000313,L000022,2025-04-25,,813,0
P0000314,L000022,2025-05-25,,813,0
P0000315,L000022,2025-06-25,,813,0
P0000316,L000022,2025-07-25,,813,0
P0000317,L000022,2025-08-25,,813,0
P0000318,L000022,2025-09-25,,813,0
P0000319,L000022,2025-10-25,,813,0
P0000320,L000022,2025-11-25,,813,0
P0000321,L000022,2025-12-25,,813,0
P0000322,L000022,2026-01-25,,813,0
P0000323,L000022,2026-02-25,,813,0
P0000324,L000022,2026-03-25,,813,0
P0000325,L000022,2026-04-25,,813,0
P0000326,L000022,2026-05-25,,813,0
P0000327,L000022,2026-06-25,,813,0
P0000328,L000022,2026-07-25,,813,0
P0000329,L000022,2026-08-25,,813,0
P0000330,L000023,2025-05-03,,136,0
P0000331,L000023,2025-06-03,,136,0
P0000332,L000023,2025-07-03,,136,0
P0000333,L000023,2025-08-03,,136,0
P0000334,L000023,2025-09-03,,136,0
P0000335,L000023,2025-10-03,,136,0
P0000336,L000023,2025-11-03,,136,0
P0000337,L000023,2025-12-03,,136,0
P0000338,L000023,2026-01-03,,136,0
P0000339,L000023,2026-02-03,,136,0
P0000340,L000023,2026-03-03,,136,0
P0000341,L000023,2026-04-03,,136,0
P0000342,L000024,2024-10-18,2024-10-25,489,489
P0000343,L000024,2024-11-18,2024-11-25,489,489
P0000344,L000024,2024-12-18,2024-12-21,489,489
P0000345,L000024,2025-01-18,2025-01-28,489,489
P0000346,L000024,2025-02-18,,489,0
P0000347,L000024,2025-03-18,,489,0
P0000348,L000024,2025-04-18,,489,0
P0000349,L000024,2025-05-18,,489,0
P0000350,L000024,2025-06-18,,489,0
P0000351,L000024,2025-07-18,,489,0
P0000352,L000024,2025-08-18,,489,0
P0000353,L000024,2025-09-18,,489,0
P0000354,L000025,2025-01-31,2025-02-07,82,82
P0000355,L000025,2025-02-28,2025-03-05,82,82
P0000356,L000025,2025-03-31,2025-04-09,82,82
P0000357,L000025,2025-04-30,,82,0
P0000358,L000025,2025-05-31,,82,0
P0000359,L000025,2025-06-30,,82,0
P0000360,L000025,2025-07-31,,82,0
P0000361,L000025,2025-08-31,,82,0
P0000362,L000025,2025-09-30,,82,0
P0000363,L000025,2025-10-31,,82,0
P0000364,L000025,2025-11-30,,82,0
P0000365,L000025,2025-12-31,,82,0
P0000366,L000025,2026-01-31,,82,0
P0000367,L000025,2026-02-28,,82,0
P0000368,L000025,2026-03-31,,82,0
P0000369,L000025,2026-04-30,,82,0
P0000370,L000025,2026-05-31,,82,0
P0000371,L000025,2026-06-30,,82,0
P0000372,L000025,2026-07-31,,82,0
P0000373,L000025,2026-08-31,,82,0
P0000374,L000025,2026-09-30,,82,0
P0000375,L000025,2026-10-31,,82,0
P0000376,L000025,2026-11-30,,82,0
P0000377,L000025,2026-12-31,,82,0
P0000378,L000026,2024-12-09,2024-12-13,2180,2180
P0000379,L000026,2025-01-09,2025-01-18,2180,2180
P0000380,L000026,2025-02-09,2025-02-12,2180,2180
P0000381,L000026,2025-03-09,2025-03-12,2180,2180
P0000382,L000026,2025-04-09,2025-04-09,2180,2180
P0000383,L000026,2025-05-09,,2180,0
P0000384,L000026,2025-06-09,,2180,0
P0000385,L000026,2025-07-09,,2180,0
P0000386,L000026,2025-08-09,,2180,0
P0000387,L000026,2025-09-09,,2180,0
P0000388,L000026,2025-10-09,,2180,0
P0000389,L000026,2025-11-09,,2180,0
P0000390,L000026,2025-12-09,,2180,0
P0000391,L000026,2026-01-09,,2180,0
P0000392,L000026,2026-02-09,,2180,0
P0000393,L000026,2026-03-09,,2180,0
P0000394,L000026,2026-04-09,,2180,0
P0000395,L000026,2026-05-09,,2180,0
P0000396,L000027,2023-03-25,2023-04-01,3581,3581
P0000397,L000027,2023-04-25,2023-05-03,3581,3581
P0000398,L000027,2023-05-25,2023-05-26,3581,3581
P0000399,L000027,2023-06-25,2023-06-26,3581,3581
P0000400,L000027,2023-07-25,2023-07-26,3581,3581
P0000401,L000027,2023-08-25,2023-09-01,3581,3581
P0000402,L000027,2023-09-25,2023-09-26,3581,3581
P0000403,L000027,2023-10-25,2023-11-03,3581,3581
P0000404,L000027,2023-11-25,2023-12-01,3581,3581
P0000405,L000027,2023-12-25,2023-12-25,3581,3581
P0000406,L000027,2024-01-25,2024-01-25,3581,3581
P0000407,L000027,2024-02-25,2024-02-29,3581,3581
P0000408,L000028,2025-04-05,2025-04-14,1447,1447
P0000409,L000028,2025-05-05,,1447,0
P0000410,L000028,2025-06-05,,1447,0
P0000411,L000028,2025-07-05,,1447,0
P0000412,L000028,2025-08-05,,1447,0
P0000413,L000028,2025-09-05,,1447,0
P0000414,L000028,2025-10-05,,1447,0
P0000415,L000028,2025-11-05,,1447,0
P0000416,L000028,2025-12-05,,1447,0
P0000417,L000028,2026-01-05,,1447,0
P0000418,L000028,2026-02-05,,1447,0
P0000419,L000028,2026-03-05,,1447,0
P0000420,L000028,2026-04-05,,1447,0
P0000421,L000028,2026-05-05,,1447,0
P0000422,L000028,2026-06-05,,1447,0
P0000423,L000028,2026-07-05,,1447,0
P0000424,L000028,2026-08-05,,1447,0
P0000425,L000028,2026-09-05,,1447,0
P0000426,L000028,2026-10-05,,1447,0
P0000427,L000028,2026-11-05,,1447,0
P0000428,L000028,2026-12-05,,1447,0
P0000429,L000028,2027-01-05,,1447,0
P0000430,L000028,2027-02-05,,1447,0
P0000431,L000028,2027-03-05,,1447,0
P0000432,L000029,2023-07-23,2023-07-23,260,260
P0000433,L000029,2023-08-23,2023-08-25,260,260
P0000434,L000029,2023-09-23,2023-09-24,260,260
P0000435,L000029,2023-10-23,2023-10-27,260,260
P0000436,L000029,2023-11-23,2023-11-27,260,260
P0000437,L000029,2023-12-23,2023-12-27,260,260
P0000438,L000029,2024-01-23,2024-01-24,260,260
P0000439,L000029,2024-02-23,2024-02-28,260,260
P0000440,L000029,2024-03-23,2024-03-28,260,260
P0000441,L000029,2024-04-23,2024-05-02,260,260
P0000442,L000029,2024-05-23,2024-05-29,260,260
P0000443,L000029,2024-06-23,2024-06-30,260,260
P0000444,L000029,2024-07-23,2024-07-27,260,260
P0000445,L000029,2024-08-23,2024-08-26,260,260
P0000446,L000029,2024-09-23,2024-09-26,260,260
P0000447,L000029,2024-10-23,2024-10-26,260,260
P0000448,L000029,2024-11-23,2024-12-03,260,260
P0000449,L000029,2024-12-23,2025-01-02,260,260
P0000450,L000029,2025-01-23,2025-01-31,260,260
P0000451,L000029,2025-02-23,2025-02-27,260,260
P0000452,L000029,2025-03-23,2025-04-02,260,260
P0000453,L000029,2025-04-23,,260,0
P0000454,L000029,2025-05-23,,260,0
P0000455,L000029,2025-06-23,,260,0
P0000456,L000030,2024-09-19,2024-09-28,16253,16253
P0000457,L000030,2024-10-19,2024-10-25,16253,16253
P0000458,L000030,2024-11-19,2024-11-24,16253,16253
P0000459,L000030,2024-12-19,2024-12-24,16253,16253
P0000460,L000030,2025-01-19,2025-01-21,16253,16253
P0000461,L000030,2025-02-19,2025-02-22,16253,16253
P0000462,L000031,2025-03-23,2025-04-01,5813,5813
P0000463,L000031,2025-04-23,,5813,0
P0000464,L000031,2025-05-23,,5813,0
P0000465,L000031,2025-06-23,,5813,0
P0000466,L000031,2025-07-23,,5813,0
P0000467,L000031,2025-08-23,,5813,0
P0000468,L000032,2025-01-14,2025-01-15,4308,4308
P0000469,L000032,2025-02-14,2025-02-21,4308,4308
P0000470,L000032,2025-03-14,2025-03-24,4308,4308
P0000471,L000032,2025-04-14,2025-04-14,4308,4308
P0000472,L000032,2025-05-14,,4308,0
P0000473,L000032,2025-06-14,,4308,0
P0000474,L000032,2025-07-14,,4308,0
P0000475,L000032,2025-08-14,,4308,0
P0000476,L000032,2025-09-14,,4308,0
P0000477,L000032,2025-10-14,,4308,0
P0000478,L000032,2025-11-14,,4308,0
P0000479,L000032,2025-12-14,,4308,0
P0000480,L000032,2026-01-14,,4308,0
P0000481,L000032,2026-02-14,,4308,0
P0000482,L000032,2026-03-14,,4308,0
P0000483,L000032,2026-04-14,,4308,0
P0000484,L000032,2026-05-14,,4308,0
P0000485,L000032,2026-06-14,,4308,0
P0000486,L000032,2026-07-14,,4308,0
P0000487,L000032,2026-08-14,,4308,0
P0000488,L000032,2026-09-14,,4308,0
P0000489,L000032,2026-10-14,,4308,0
P0000490,L000032,2026-11-14,,4308,0
P0000491,L000032,2026-12-14,,4308,0
P0000492,L000033,2025-04-17,,5950,0
P0000493,L000033,2025-05-17,,5950,0
P0000494,L000033,2025-06-17,,5950,0
P0000495,L000033,2025-07-17,,5950,0
P0000496,L000033,2025-08-17,,5950,0
P0000497,L000033,2025-09-17,,5950,0
P0000498,L000034,2024-05-20,2024-05-23,6762,6762
P0000499,L000034,2024-06-20,2024-06-23,6762,6762
P0000500,L000034,2024-07-20,2024-07-25,6762,6762
P0000501,L000034,2024-08-20,2024-08-23,6762,6762
P0000502,L000034,2024-09-20,2024-09-20,6762,6762
P0000503,L000034,2024-10-20,2024-10-20,6762,6762
P0000504,L000035,2024-05-09,2024-05-13,2548,2548
P0000505,L000035,2024-06-09,2024-06-18,2548,2548
P0000506,L000035,2024-07-09,2024-07-18,2548,2548
P0000507,L000035,2024-08-09,2024-08-18,2548,2548
P0000508,L000035,2024-09-09,2024-09-11,2548,2548
P0000509,L000035,2024-10-09,2024-10-15,2548,2548
P0000510,L000035,2024-11-09,2024-11-19,2548,2548
P0000511,L000035,2024-12-09,2024-12-15,2548,2548
P0000512,L000035,2025-01-09,2025-01-14,2548,2548
P0000513,L000035,2025-02-09,2025-02-12,2548,2548
P0000514,L000035,2025-03-09,2025-03-15,2548,2548
P0000515,L000035,2025-04-09,2025-04-10,2548,2548
P0000516,L000036,2025-04-15,,3547,0
P0000517,L000036,2025-05-15,,3547,0
P0000518,L000036,2025-06-15,,3547,0
P0000519,L000036,2025-07-15,,3547,0
P0000520,L000036,2025-08-15,,3547,0
P0000521,L000036,2025-09-15,,3547,0
P0000522,L000036,2025-10-15,,3547,0
P0000523,L000036,2025-11-15,,3547,0
P0000524,L000036,2025-12-15,,3547,0
P0000525,L000036,2026-01-15,,3547,0
P0000526,L000036,2026-02-15,,3547,0
P0000527,L000036,2026-03-15,,3547,0
P0000528,L000037,2025-04-12,,2191,0
P0000529,L000037,2025-05-12,,2191,0
P0000530,L000037,2025-06-12,,2191,0
P0000531,L000037,2025-07-12,,2191,0
P0000532,L000037,2025-08-12,,2191,0
P0000533,L000037,2025-09-12,,2191,0
P0000534,L000037,2025-10-12,,2191,0
P0000535,L000037,2025-11-12,,2191,0
P0000536,L000037,2025-12-12,,2191,0
P0000537,L000037,2026-01-12,,2191,0
P0000538,L000037,2026-02-12,,2191,0
P0000539,L000037,2026-03-12,,2191,0
P0000540,L000037,2026-04-12,,2191,0
P0000541,L000037,2026-05-12,,2191,0
P0000542,L000037,2026-06-12,,2191,0
P0000543,L000037,2026-07-12,,2191,0
P0000544,L000037,2026-08-12,,2191,0
P0000545,L000037,2026-09-12,,2191,0
P0000546,L000037,2026-10-12,,2191,0
P0000547,L000037,2026-11-12,,2191,0
P0000548,L000037,2026-12-12,,2191,0
P0000549,L000037,2027-01-12,,2191,0
P0000550,L000037,2027-02-12,,2191,0
P0000551,L000037,2027-03-12,,2191,0
P0000552,L000038,2025-03-22,2025-04-01,12159,12159
P0000553,L000038,2025-04-22,,12159,0
P0000554,L000038,2025-05-22,,12159,0
P0000555,L000038,2025-06-22,,12159,0
P0000556,L000038,2025-07-22,,12159,0
P0000557,L000038,2025-08-22,,12159,0
P0000558,L000039,2025-03-11,2025-03-18,1210,1210
P0000559,L000039,2025-04-11,2025-04-14,1210,1210
P0000560,L000039,2025-05-11,,1210,0
P0000561,L000039,2025-06-11,,1210,0
P0000562,L000039,2025-07-11,,1210,0
P0000563,L000039,2025-08-11,,1210,0
P0000564,L000039,2025-09-11,,1210,0
P0000565,L000039,2025-10-11,,1210,0
P0000566,L000039,2025-11-11,,1210,0
P0000567,L000039,2025-12-11,,1210,0
P0000568,L000039,2026-01-11,,1210,0
P0000569,L000039,2026-02-11,,1210,0
P0000570,L000040,2023-12-13,2023-12-14,1093,1093
P0000571,L000040,2024-01-13,2024-01-20,1093,1093
P0000572,L000040,2024-02-13,2024-02-16,1093,1093
P0000573,L000040,2024-03-13,2024-03-22,1093,1093
P0000574,L000040,2024-04-13,2024-04-17,1093,1093
P0000575,L000040,2024-05-13,2024-05-19,1093,1093
P0000576,L000040,2024-06-13,2024-06-15,1093,1093
P0000577,L000040,2024-07-13,2024-07-17,1093,1093
P0000578,L000040,2024-08-13,2024-08-21,1093,1093
P0000579,L000040,2024-09-13,2024-09-20,1093,1093
P0000580,L000040,2024-10-13,2024-10-15,1093,1093
