loan_id,customer_id,amount,issue_date,term_months,interest_rate,app_score,status
L000111,C00053,46991,2024-10-19,6,0.012,644,active
L000112,C00053,36678,2024-05-01,6,0.012,683,closed
L000113,C00053,33406,2024-04-01,12,0.012,667,closed
L000114,C00054,41312,2024-03-31,6,0.012,651,closed
L000115,C00055,47308,2023-09-02,12,0.012,673,closed
L000116,C00056,13406,2025-03-26,18,0.02,626,active
L000117,C00057,22665,2024-02-09,6,0.032,691,closed
L000118,C00057,12290,2023-04-19,12,0.032,696,default
L000119,C00057,14111,2023-08-06,6,0.032,663,closed
L000120,C00058,10520,2024-10-27,6,0.032,658,active
L000121,C00058,9153,2024-09-05,6,0.032,649,closed
L000122,C00059,32713,2023-06-25,6,0.012,602,closed
L000123,C00059,70309,2024-11-25,12,0.012,600,active
L000124,C00059,61207,2024-10-12,18,0.012,678,active
L000125,C00060,89313,2025-01-15,24,0.012,636,active
L000126,C00061,60279,2025-03-31,6,0.012,645,active
L000127,C00061,60702,2025-03-03,24,0.012,676,active
L000128,C00061,43974,2025-03-23,12,0.012,627,active
L000129,C00062,36707,2023-10-08,24,0.012,674,active
L000130,C00063,8711,2024-02-19,6,0.02,591,closed
L000131,C00063,15442,2024-07-26,12,0.02,632,active
L000132,C00064,62791,2024-11-29,6,0.012,672,active
L000133,C00064,112321,2025-02-25,12,0.012,621,active
L000134,C00065,27901,2025-03-19,24,0.012,635,active
L000135,C00065,16419,2024-12-25,12,0.012,635,active
L000136,C00066,7452,2023-04-04,12,0.032,660,closed
L000137,C00067,72506,2025-03-22,12,0.012,652,active
L000138,C00067,43739,2025-03-27,24,0.012,658,active
L000139,C00068,46691,2023-03-23,18,0.02,656,closed
L000140,C00068,29230,2023-06-21,24,0.02,619,active
L000141,C00069,24373,2023-10-30,24,0.02,658,active
L000142,C00069,20662,2024-08-12,12,0.02,627,active
L000143,C00070,41643,2025-01-12,24,0.012,636,active
L000144,C00070,70797,2024-02-22,12,0.012,669,default
L000145,C00071,20151,2025-02-01,24,0.02,655,active
L000146,C00071,17526,2025-02-01,18,0.02,620,active
L000147,C00071,32392,2024-08-13,6,0.02,616,closed
L000148,C00072,1679,2023-06-16,24,0.032,701,active
L000149,C00072,2683,2023-12-23,24,0.032,648,active
L000150,C00072,3277,2024-01-13,24,0.032,696,active
L000151,C00073,9427,2025-04-12,6,0.032,623,active
L000152,C00074,30228,2023-11-26,24,0.012,673,active
L000153,C00074,65326,2025-02-09,12,0.012,637,default
L000154,C00074,49701,2023-09-30,24,0.012,633,active
L000155,C00075,10403,2024-05-02,12,0.032,679,active
L000156,C00075,8819,2024-06-04,24,0.032,625,active
L000157,C00075,10347,2025-02-02,6,0.032,621,active
L000158,C00076,46731,2025-02-04,12,0.012,664,active
L000159,C00076,89197,2025-02-07,6,0.012,631,active
L000160,C00077,32839,2024-03-03,18,0.02,658,active
L000161,C00077,17893,2024-12-21,24,0.02,626,active
L000162,C00077,29996,2023-04-23,12,0.02,663,closed
L000163,C00078,21116,2024-05-28,24,0.032,668,active
L000164,C00079,140615,2023-04-22,12,0.012,669,closed
L000165,C00079,79041,2023-03-07,12,0.012,665,closed
L000166,C00079,127998,2024-11-19,6,0.012,680,default
L000167,C00080,27156,2023-09-12,6,0.012,675,closed
L000168,C00080,83344,2025-01-14,18,0.012,667,active
L000169,C00080,42289,2024-10-13,18,0.012,630,active
L000170,C00081,31822,2024-06-28,24,0.02,607,active
L000171,C00082,12350,2023-01-04,24,0.02,616,closed
L000172,C00083,47300,2023-12-11,18,0.012,699,active
L000173,C00084,18711,2025-03-15,24,0.02,629,active
L000174,C00084,6175,2023-12-30,18,0.02,683,default
L000175,C00085,16583,2023-11-30,12,0.02,662,closed
L000176,C00085,17588,2024-02-14,6,0.02,625,closed
L000177,C00085,21649,2024-05-02,6,0.02,708,closed
L000178,C00086,61197,2024-09-13,12,0.012,676,active
L000179,C00086,97048,2025-01-03,12,0.012,604,active
L000180,C00087,19829,2024-10-31,24,0.02,655,active
L000181,C00088,20830,2024-10-19,12,0.012,665,active
L000182,C00088,37480,2024-12-19,6,0.012,605,active
L000183,C00088,44834,2024-07-02,18,0.012,657,active
L000184,C00089,69327,2024-11-12,6,0.012,613,active
L000185,C00089,36287,2024-05-18,18,0.012,611,active
L000186,C00090,14489,2025-02-13,18,0.02,613,active
L000187,C00090,35940,2024-10-24,24,0.02,669,active
L000188,C00090,21567,2024-08-04,18,0.02,651,active
L000189,C00091,73775,2025-02-01,18,0.012,647,active
L000190,C00092,5940,2024-01-25,6,0.032,647,closed
L000191,C00092,8570,2024-02-02,18,0.032,690,active
L000192,C00093,7033,2023-09-30,12,0.032,662,closed
L000193,C00093,3941,2024-04-11,18,0.032,662,active
L000194,C00093,8354,2024-10-16,12,0.032,630,active
L000195,C00094,84056,2023-02-05,18,0.012,651,closed
L000196,C00094,41188,2024-12-06,24,0.012,630,active
L000197,C00094,35359,2024-01-21,18,0.012,647,active
L000198,C00095,100414,2024-11-15,12,0.012,639,active
L000199,C00095,101154,2024-10-30,24,0.012,634,active
L000200,C00095,112568,2024-10-20,24,0.012,622,active
L000201,C00096,26360,2024-05-16,18,0.012,692,active
L000202,C00096,67303,2023-10-28,24,0.012,678,active
L000203,C00097,47105,2024-12-27,12,0.012,654,active
L000204,C00098,57985,2025-03-12,12,0.012,653,active
L000205,C00098,64592,2024-11-11,6,0.012,685,active
L000206,C00099,61800,2024-01-21,24,0.012,653,active
L000207,C00100,3339,2024-10-16,6,0.032,628,default
L000208,C00100,6402,2024-11-27,24,0.032,676,active
L000209,C00101,48445,2024-08-07,24,0.012,635,active
L000210,C00102,28754,2024-03-29,24,0.02,672,active
L000211,C00102,32397,2024-01-04,24,0.02,584,active
L000212,C00102,20430,2025-01-02,6,0.02,651,active
L000213,C00103,24967,2023-09-12,24,0.012,668,active
L000214,C00103,29979,2025-02-26,12,0.012,558,active
L000215,C00103,63390,2023-11-26,6,0.012,734,closed
L000216,C00104,15684,2025-03-14,6,0.012,605,active
L000217,C00104,24875,2025-03-10,6,0.012,670,active
L000218,C00104,39315,2024-09-26,6,0.012,656,closed
L000219,C00105,29844,2024-05-10,6,0.02,690,default
L000220,C00105,14202,2024-09-18,12,0.02,658,active
L000221,C00105,34566,2023-05-05,18,0.02,670,closed
L000222,C00106,27610,2024-05-01,6,0.02,660,closed
L000223,C00106,36229,2024-09-03,24,0.02,649,active
L000224,C00106,37541,2025-03-24,18,0.02,618,active
L000225,C00107,18219,2023-10-23,12,0.02,641,closed
L000226,C00107,41227,2024-04-15,12,0.02,643,closed
L000227,C00107,13021,2024-11-13,18,0.02,631,active
L000228,C00108,59627,2024-07-08,6,0.012,677,closed
L000229,C00108,70672,2024-06-28,6,0.012,647,closed
L000230,C00108,108027,2024-08-31,12,0.012,634,active
L000231,C00109,44581,2025-03-16,12,0.012,610,active
L000232,C00109,63844,2024-12-19,12,0.012,653,active
L000233,C00109,66339,2025-02-15,18,0.012,648,active
L000234,C00110,40235,2023-12-08,12,0.02,672,default
L000235,C00110,47527,2024-01-22,12,0.02,646,closed
L000236,C00111,4398,2024-01-19,18,0.032,621,default
L000237,C00112,91262,2024-08-05,6,0.012,617,closed
L000238,C00112,67175,2024-04-13,24,0.012,679,active
L000239,C00113,35175,2024-07-18,24,0.02,683,active
L000240,C00113,22455,2023-05-11,12,0.02,652,closed
L000241,C00113,14639,2023-10-01,18,0.02,648,closed
L000242,C00114,86038,2025-03-08,12,0.012,620,active
L000243,C00115,84014,2024-07-06,12,0.012,650,active
L000244,C00115,83677,2023-12-26,24,0.012,666,active
L000245,C00116,7430,2025-01-17,6,0.02,594,active
L000246,C00117,32202,2023-03-28,24,0.02,661,closed
L000247,C00118,50942,2024-07-07,12,0.02,638,active
L000248,C00118,40988,2024-07-14,6,0.02,613,closed
L000249,C00118,13708,2025-03-07,24,0.02,661,active
L000250,C00119,27009,2023-12-20,6,0.012,609,closed
L000251,C00119,40070,2025-02-21,12,0.012,601,active
L000252,C00119,54842,2024-01-11,18,0.012,685,active
L000253,C00120,12697,2023-07-18,12,0.02,652,closed
L000254,C00120,11791,2023-07-23,24,0.02,655,active
L000255,C00121,12006,2025-03-12,18,0.02,658,active
L000256,C00121,18504,2025-03-28,6,0.02,690,active
L000257,C00121,15020,2025-02-18,24,0.02,621,active
L000258,C00122,4053,2023-04-20,12,0.032,657,closed
L000259,C00122,5006,2023-07-22,12,0.032,661,closed
L000260,C00123,17316,2025-02-18,18,0.02,645,active
L000261,C00123,43400,2025-03-17,18,0.02,666,active
L000262,C00124,54168,2025-02-04,18,0.012,641,active
L000263,C00124,48571,2024-10-04,18,0.012,639,active
L000264,C00125,44427,2024-03-07,6,0.02,668,closed
L000265,C00125,54284,2024-11-12,6,0.02,656,active
L000266,C00126,9173,2025-03-20,12,0.032,622,active
L000267,C00126,8576,2025-03-23,24,0.032,679,default
L000268,C00126,9116,2024-09-03,12,0.032,658,active
L000269,C00127,107457,2024-12-16,18,0.012,666,active
L000270,C00128,22489,2023-07-25,18,0.02,657,closed
L000271,C00128,14232,2025-04-09,12,0.02,652,active
L000272,C00128,35082,2023-11-11,12,0.02,646,closed
L000273,C00129,108570,2025-03-14,12,0.012,619,active
L000274,C00130,64237,2024-10-06,12,0.012,660,active
L000275,C00130,83792,2023-07-16,24,0.012,677,default
L000276,C00130,28160,2023-07-24,6,0.012,637,closed
L000277,C00131,63007,2024-08-20,24,0.012,662,active
L000278,C00132,36726,2025-01-23,6,0.012,639,active
L000279,C00132,55358,2024-11-27,6,0.012,662,active
L000280,C00133,89268,2023-02-23,18,0.012,666,closed
L000281,C00134,12302,2024-07-29,24,0.02,669,active
L000282,C00135,5843,2024-07-04,6,0.032,624,default
L000283,C00135,14595,2024-11-08,18,0.032,602,active
L000284,C00136,40760,2025-03-31,12,0.02,631,active
L000285,C00136,20153,2025-02-05,6,0.02,628,default
L000286,C00136,22867,2025-02-16,24,0.02,650,active
L000287,C00137,112627,2024-11-12,12,0.012,637,active
L000288,C00137,40122,2024-08-28,12,0.012,607,active
L000289,C00138,114955,2024-11-09,24,0.012,661,active
L000290,C00138,116447,2024-03-19,6,0.012,629,closed
L000291,C00138,46821,2023-12-12,18,0.012,663,active
L000292,C00139,1337,2025-02-04,6,0.032,652,active
L000293,C00140,16324,2025-04-01,6,0.032,605,default
L000294,C00140,11504,2025-04-02,24,0.032,625,active
L000295,C00141,54215,2024-11-22,6,0.012,653,active
L000296,C00142,68217,2024-10-06,18,0.012,636,active
L000297,C00142,36868,2024-11-24,12,0.012,658,active
L000298,C00142,50944,2024-06-16,12,0.012,678,active
L000299,C00143,30129,2025-01-09,12,0.02,634,active
L000300,C00144,14922,2025-04-10,18,0.02,614,active
L000301,C00145,12028,2025-01-09,18,0.02,695,active
L000302,C00145,24712,2023-02-28,6,0.02,667,closed
L000303,C00146,47410,2023-09-20,6,0.012,644,closed
L000304,C00147,69024,2024-01-27,18,0.012,684,active
L000305,C00147,29896,2024-03-28,18,0.012,634,active
L000306,C00147,61580,2024-10-06,24,0.012,652,active
L000307,C00148,59293,2024-10-03,6,0.012,657,closed
L000308,C00148,24876,2024-12-22,12,0.012,652,active
L000309,C00149,6590,2024-06-18,12,0.02,686,active
L000310,C00149,13530,2025-03-19,12,0.02,650,active
L000311,C00149,24246,2024-12-21,6,0.02,646,active
L000312,C00150,46151,2025-01-14,6,0.02,622,default
L000313,C00151,92021,2025-02-20,6,0.012,627,active
L000314,C00152,13135,2024-06-24,6,0.02,660,closed
L000315,C00153,18984,2024-04-23,6,0.02,656,closed
L000316,C00153,17495,2024-09-15,24,0.02,650,active
L000317,C00153,6229,2024-01-17,18,0.02,640,active
L000318,C00154,52624,2023-10-01,6,0.02,648,closed
L000319,C00155,14309,2025-03-14,12,0.02,638,default
L000320,C00155,30742,2025-04-01,18,0.02,631,active
L000321,C00156,118562,2025-03-24,6,0.012,627,active
L000322,C00156,54322,2025-01-10,18,0.012,620,active
L000323,C00157,42583,2023-02-14,12,0.02,687,closed
L000324,C00158,8312,2025-03-02,24,0.02,663,active
L000325,C00158,11009,2024-12-12,6,0.02,672,active
L000326,C00159,21406,2025-02-03,6,0.032,654,active
L000327,C00159,11049,2024-10-13,24,0.032,593,active
L000328,C00160,44897,2025-04-14,24,0.012,661,active
L000329,C00160,57735,2023-05-11,24,0.012,654,active
L000330,C00161,34588,2025-03-02,24,0.02,613,active
L000331,C00161,53284,2025-03-31,24,0.02,620,active
L000332,C00162,38559,2025-03-13,12,0.02,617,active
L000333,C00162,49357,2025-04-02,12,0.02,663,active
L000334,C00163,2852,2024-01-06,6,0.032,641,default
L000335,C00164,22099,2023-07-15,18,0.032,681,closed
L000336,C00165,85521,2023-10-29,24,0.012,662,active
L000337,C00166,16303,2023-05-08,12,0.032,706,closed
L000338,C00167,82781,2024-09-26,6,0.012,636,closed
L000339,C00168,20872,2023-02-26,12,0.012,651,closed
L000340,C00169,35338,2023-05-20,24,0.02,669,active
L000341,C00170,30567,2025-02-14,18,0.02,654,active
L000342,C00170,19866,2025-04-04,6,0.02,638,active
L000343,C00170,27771,2024-10-10,12,0.02,656,active
L000344,C00171,91137,2024-06-22,24,0.012,615,active
L000345,C00172,31915,2024-06-30,24,0.02,644,active
L000346,C00172,39989,2024-06-13,24,0.02,672,active
L000347,C00172,11917,2024-12-07,24,0.02,640,active
L000348,C00173,8918,2025-04-13,6,0.032,653,active
L000349,C00173,11029,2025-03-24,12,0.032,616,default
L000350,C00173,9313,2025-03-20,12,0.032,640,active
L000351,C00174,41596,2024-08-01,12,0.012,653,active
L000352,C00174,39590,2024-08-20,6,0.012,642,closed
L000353,C00175,9580,2023-11-11,6,0.02,638,closed
L000354,C00175,14982,2023-11-23,24,0.02,680,active
L000355,C00175,21943,2023-10-17,18,0.02,666,active
L000356,C00176,12652,2023-08-02,24,0.02,649,active
L000357,C00176,12981,2023-04-24,6,0.02,593,closed
L000358,C00176,9443,2025-03-18,24,0.02,592,default
L000359,C00177,36023,2024-12-29,6,0.02,649,active
L000360,C00178,34194,2025-01-05,12,0.012,654,active
L000361,C00179,42404,2025-03-03,18,0.012,607,active
L000362,C00180,73050,2023-12-14,24,0.012,698,active
L000363,C00181,21330,2024-11-24,6,0.02,651,active
L000364,C00182,5267,2024-12-27,6,0.032,673,active
L000365,C00182,10177,2023-11-03,24,0.032,699,active
L000366,C00182,6050,2024-06-03,18,0.032,639,default
L000367,C00183,7327,2024-09-15,24,0.032,631,active
L000368,C00183,12189,2024-08-27,12,0.032,704,active
L000369,C00183,14775,2024-06-08,24,0.032,635,active
L000370,C00184,43007,2024-11-27,18,0.012,607,active
L000371,C00184,94470,2023-03-27,24,0.012,657,closed
L000372,C00184,34978,2024-11-29,6,0.012,640,active
L000373,C00185,21196,2023-06-08,18,0.02,641,closed
L000374,C00186,5549,2024-10-27,12,0.032,620,default
L000375,C00186,3748,2025-01-04,24,0.032,659,default
L000376,C00186,4978,2024-03-17,24,0.032,661,active
L000377,C00187,56516,2024-03-23,24,0.02,643,active
L000378,C00187,19025,2024-08-07,24,0.02,656,active
L000379,C00188,31188,2024-10-28,6,0.02,645,active
L000380,C00188,18885,2025-01-21,18,0.02,659,active
L000381,C00188,57332,2024-10-27,24,0.02,574,active
L000382,C00189,5911,2024-03-16,6,0.032,658,closed
L000383,C00189,17080,2024-12-23,12,0.032,652,active
L000384,C00189,7336,2024-06-09,6,0.032,705,closed
L000385,C00190,22336,2023-06-18,24,0.02,689,active
L000386,C00190,42922,2024-07-02,12,0.02,668,active
L000387,C00191,24782,2024-02-03,12,0.02,654,default
L000388,C00191,19541,2024-11-14,12,0.02,609,active
L000389,C00191,24829,2025-01-30,18,0.02,707,default
L000390,C00192,45486,2023-06-01,18,0.012,710,closed
L000391,C00192,57658,2024-06-17,24,0.012,703,active
L000392,C00193,12914,2024-11-22,6,0.02,682,active
L000393,C00194,112336,2025-02-12,24,0.012,651,active
L000394,C00194,130387,2024-03-04,6,0.012,643,closed
L000395,C00194,84721,2024-06-12,6,0.012,677,closed
L000396,C00195,72398,2024-05-21,18,0.012,641,active
L000397,C00195,64820,2025-04-03,12,0.012,667,active
L000398,C00195,49424,2024-02-27,12,0.012,636,closed
L000399,C00196,41188,2025-03-02,18,0.012,635,active
L000400,C00196,70997,2023-07-16,6,0.012,663,closed
L000401,C00196,44335,2023-07-21,6,0.012,662,closed
L000402,C00197,89293,2024-08-18,18,0.012,652,active
L000403,C00197,55997,2024-07-18,12,0.012,628,active
L000404,C00197,53609,2023-05-08,24,0.012,620,active
L000405,C00198,7960,2025-04-05,18,0.02,666,active
L000406,C00198,14404,2025-04-12,18,0.02,622,active
L000407,C00198,7879,2025-03-26,24,0.02,692,default
L000408,C00199,81838,2024-06-21,18,0.012,627,active
L000409,C00200,38175,2025-02-27,12,0.02,696,active
L000410,C00201,40551,2023-12-14,24,0.02,684,active
L000411,C00201,26319,2024-04-17,18,0.02,685,active
L000412,C00202,28575,2023-08-25,12,0.012,624,closed
L000413,C00202,63409,2025-02-19,18,0.012,641,active
L000414,C00203,22596,2023-11-27,6,0.02,663,closed
L000415,C00204,32975,2023-08-03,6,0.02,660,closed
L000416,C00205,30202,2024-08-29,18,0.02,656,active
L000417,C00206,125996,2025-03-12,24,0.012,675,active
L000418,C00207,28256,2023-12-11,12,0.012,635,closed
L000419,C00207,20636,2024-02-02,6,0.012,634,closed
L000420,C00207,27654,2024-08-04,12,0.012,666,active
L000421,C00208,4814,2024-12-11,6,0.032,658,active
L000422,C00209,2022,2025-02-09,24,0.032,626,active
L000423,C00209,1909,2025-02-20,6,0.032,657,active
L000424,C00210,9877,2023-11-08,18,0.02,688,active
L000425,C00210,10780,2023-10-12,18,0.02,658,closed
L000426,C00210,20596,2024-04-21,6,0.02,617,closed
L000427,C00211,37179,2024-12-18,6,0.012,637,active
L000428,C00211,12578,2025-01-14,12,0.012,638,active
L000429,C00212,29720,2025-03-27,24,0.02,670,active
L000430,C00212,23209,2025-03-20,24,0.02,658,active
L000431,C00213,128907,2024-12-27,6,0.012,633,active
L000432,C00213,64186,2025-03-16,12,0.012,669,active
L000433,C00213,92526,2025-02-02,18,0.012,633,active
L000434,C00214,21164,2023-06-11,24,0.02,667,active
L000435,C00214,17612,2023-04-27,6,0.02,682,closed
L000436,C00214,20705,2023-11-07,18,0.02,619,active
L000437,C00215,12272,2024-12-18,6,0.02,610,active
L000438,C00215,12794,2024-12-10,12,0.02,635,active
L000439,C00215,8024,2024-12-23,18,0.02,649,active
L000440,C00216,18901,2025-04-09,18,0.012,649,active
L000441,C00216,49143,2023-12-30,24,0.012,691,active
L000442,C00217,26353,2024-09-26,18,0.012,629,active
L000443,C00218,33994,2023-03-18,24,0.02,600,closed
L000444,C00218,24396,2024-03-21,18,0.02,662,active
L000445,C00218,49593,2023-02-17,24,0.02,667,closed
L000446,C00219,37145,2024-12-21,24,0.02,642,default
L000447,C00219,52504,2025-04-04,24,0.02,647,active
L000448,C00220,128168,2024-09-24,6,0.012,639,closed
L000449,C00220,118438,2025-04-15,18,0.012,645,active
L000450,C00221,21262,2025-02-16,18,0.012,634,active
L000451,C00221,42549,2025-03-02,6,0.012,642,active
L000452,C00222,4045,2023-11-02,6,0.032,666,closed
L000453,C00222,6244,2024-10-08,6,0.032,629,closed
L000454,C00222,12825,2024-07-31,6,0.032,688,closed
L000455,C00223,28404,2023-04-24,18,0.012,639,closed
L000456,C00224,43541,2025-03-24,24,0.02,640,active
L000457,C00224,20859,2025-01-24,18,0.02,657,active
L000458,C00225,112036,2025-03-28,6,0.012,623,active
L000459,C00225,151233,2025-04-07,18,0.012,639,active
L000460,C00225,64568,2025-04-06,18,0.012,646,active
L000461,C00226,61361,2024-05-19,6,0.012,620,closed
L000462,C00227,12772,2024-08-07,12,0.012,617,active
L000463,C00228,103216,2024-10-18,18,0.012,646,active
L000464,C00228,93726,2024-11-13,12,0.012,648,active
L000465,C00229,16666,2024-01-30,12,0.032,650,closed
L000466,C00229,5120,2023-07-12,24,0.032,670,active
L000467,C00230,6188,2023-04-15,6,0.032,678,closed
L000468,C00230,4505,2023-09-04,24,0.032,662,active
L000469,C00230,8823,2024-04-08,6,0.032,665,closed
L000470,C00231,34938,2024-12-18,12,0.012,620,active
L000471,C00232,8861,2024-12-10,6,0.02,658,active
L000472,C00232,6645,2025-02-25,12,0.02,614,active
L000473,C00233,11458,2024-06-15,6,0.02,679,closed
L000474,C00233,8261,2023-04-24,6,0.02,685,closed
L000475,C00234,15409,2023-10-08,24,0.02,639,active
L000476,C00234,14003,2023-10-08,18,0.02,644,closed
L000477,C00234,15727,2025-04-09,18,0.02,642,active
L000478,C00235,95311,2024-05-11,24,0.012,656,active
L000479,C00236,108324,2024-08-28,12,0.012,593,active
L000480,C00237,85223,2024-01-04,24,0.012,655,active
L000481,C00237,33157,2023-10-29,6,0.012,662,closed
L000482,C00238,5306,2025-04-01,12,0.02,634,default
L000483,C00238,18547,2024-11-02,12,0.02,643,active
L000484,C00239,49185,2023-04-13,18,0.012,621,closed
L000485,C00240,7687,2024-11-10,18,0.032,653,active
L000486,C00240,5949,2023-12-28,18,0.032,693,active
L000487,C00241,30516,2024-05-10,6,0.012,632,closed
L000488,C00241,81378,2024-02-25,12,0.012,656,closed
L000489,C00241,89384,2024-12-13,18,0.012,646,active
L000490,C00242,48665,2025-03-17,24,0.02,600,active
L000491,C00243,83664,2024-11-27,24,0.012,592,active
L000492,C00243,34502,2024-11-18,18,0.012,660,active
